Quantum 1,,,,,
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 62 ,0,187,138,0,0
Router 63 ,0,0,0,0,171
Quantum 7,,,,,
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0 ,0,0,0,0,0
Router 1 ,143,0,0,0,0
Router 2 ,1,0,0,0,0
Router 3 ,142,0,0,0,0
Router 4 ,1,0,0,0,0
Router 5 ,0,0,0,0,0
Router 6 ,0,0,0,0,0
Router 7 ,0,0,0,0,0
Router 8 ,0,143,0,0,0
Router 9 ,0,0,0,0,143
Router 10 ,143,0,0,0,17
Router 11 ,143,0,0,0,126
Router 12 ,0,0,0,0,17
Router 13 ,0,0,0,0,0
Router 14 ,0,0,0,0,0
Router 15 ,0,0,0,0,0
Router 16 ,0,127,0,0,0
Router 17 ,0,270,0,0,0
Router 18 ,1,94,0,0,176
Router 19 ,143,0,0,0,253
Router 20 ,142,0,0,0,33
Router 21 ,1,0,0,0,0
Router 22 ,0,0,0,0,0
Router 23 ,0,0,0,0,0
Router 24 ,0,192,0,0,46
Router 25 ,0,192,63,0,0
Router 26 ,0,335,0,0,17
Router 27 ,143,65,0,0,270
Router 28 ,143,0,0,0,175
Router 29 ,142,0,0,0,17
Router 30 ,1,0,0,0,0
Router 31 ,0,0,0,0,0
Router 32 ,0,64,0,0,113
Router 33 ,0,126,64,0,0
Router 34 ,0,126,46,0,33
Router 35 ,0,269,0,0,143
Router 36 ,0,0,143,0,269
Router 37 ,143,0,0,0,159
Router 38 ,142,0,0,0,17
Router 39 ,0,0,0,0,0
Router 40 ,0,0,0,0,0
Router 41 ,0,97,0,0,0
Router 42 ,0,159,97,0,49
Router 43 ,0,159,111,0,0
Router 44 ,0,302,65,0,0
Router 45 ,0,0,65,0,302
Router 46 ,143,0,0,0,159
Router 47 ,142,0,0,0,0
Router 48 ,0,0,0,0,0
Router 49 ,0,0,0,0,0
Router 50 ,0,97,0,0,0
Router 51 ,0,159,97,0,0
Router 52 ,0,159,62,0,0
Router 53 ,0,302,16,0,0
Router 54 ,0,0,16,0,302
Router 55 ,143,0,0,0,127
Router 56 ,0,0,0,0,0
Router 57 ,0,0,0,0,0
Router 58 ,0,0,0,0,0
Router 59 ,0,62,0,0,0
Router 60 ,0,125,62,0,0
Router 61 ,0,125,46,0,0
Router 62 ,0,269,0,0,0
Router 63 ,0,0,0,0,270
Quantum 8,,,,,
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0 ,0,0,0,0,0
Router 1 ,0,0,0,0,0
Router 2 ,142,0,0,0,0
Router 3 ,1,0,0,0,0
Router 4 ,142,0,0,0,0
Router 5 ,1,0,0,0,0
Router 6 ,0,0,0,0,0
Router 7 ,0,0,0,0,0
Router 8 ,0,0,0,0,0
Router 9 ,0,0,0,0,0
Router 10 ,0,0,0,0,126
Router 11 ,143,0,0,0,17
Router 12 ,143,0,0,0,126
Router 13 ,0,0,0,0,17
Router 14 ,0,0,0,0,0
Router 15 ,0,0,0,0,0
Router 16 ,0,78,0,0,0
Router 17 ,0,94,0,0,0
Router 18 ,142,0,0,0,110
Router 19 ,0,0,0,0,176
Router 20 ,143,0,0,0,253
Router 21 ,142,0,0,0,33
Router 22 ,0,0,0,0,0
Router 23 ,0,0,0,0,0
Router 24 ,0,127,0,0,0
Router 25 ,0,270,0,0,0
Router 26 ,0,270,0,0,126
Router 27 ,0,78,0,0,192
Router 28 ,0,0,0,0,380
Router 29 ,0,0,0,0,175
Router 30 ,143,0,0,0,0
Router 31 ,0,0,0,0,0
Router 32 ,0,208,0,0,14
Router 33 ,0,208,47,0,0
Router 34 ,0,351,0,0,110
Router 35 ,0,351,0,0,0
Router 36 ,0,81,0,0,270
Router 37 ,0,0,0,0,175
Router 38 ,143,0,0,0,143
Router 39 ,143,0,0,0,1
Router 40 ,0,16,0,0,127
Router 41 ,0,46,16,0,0
Router 42 ,0,62,14,0,94
Router 43 ,0,110,78,0,0
Router 44 ,0,110,62,0,0
Router 45 ,0,0,46,0,110
Router 46 ,0,0,0,0,286
Router 47 ,143,0,0,0,145
Router 48 ,0,0,0,0,0
Router 49 ,0,16,0,0,0
Router 50 ,0,46,16,0,0
Router 51 ,0,143,30,0,0
Router 52 ,0,286,16,0,0
Router 53 ,0,286,16,0,0
Router 54 ,0,0,16,0,286
Router 55 ,0,0,0,0,303
Router 56 ,0,0,0,0,0
Router 57 ,0,0,0,0,0
Router 58 ,0,94,0,0,0
Router 59 ,0,160,94,0,0
Router 60 ,0,159,49,0,0
Router 61 ,0,303,0,0,0
Router 62 ,0,303,0,0,0
Router 63 ,0,0,0,0,303
Quantum 9,,,,,
